"","pop","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"112","2",127131,179179,176176,124126,146146,121131,123123,242244,282288,235235,148150
"113","2",127131,179179,178178,138138,134146,121131,123123,NA,NA,231235,148148
"114","2",127131,179179,176188,126130,134140,121131,123123,242242,288288,231235,150150
"115","3",127131,179179,176176,126130,134146,131131,123129,242242,282282,231235,148148
"116","2",131131,179181,178178,124126,134140,121131,123129,238242,282288,235235,148148
"117","2",127131,179181,176178,126126,140144,121129,129129,242244,282288,231235,148150
"118","2",127131,179179,176188,130138,134152,121121,123129,240242,288288,235237,148150
"119","2",127131,179179,176188,126138,134134,121131,123129,240240,288288,231235,148150
"120","3",127131,179181,172176,124130,134140,131131,123129,238242,282282,235235,148150
"121","2",127131,179179,176178,124126,134144,121131,123123,242244,282282,235235,148148
"122","2",127131,179181,172176,126126,140144,121131,123123,238242,282288,235235,148148
"123","2",127127,179179,176178,126138,140146,129131,123129,238242,282282,235235,148150
"124","2",131131,179179,172176,126126,134136,121131,129131,242244,282282,231235,148148
"125","2",127131,179181,178178,126128,140152,131131,123129,244244,282282,235235,148148
"126","2",127127,179179,176176,126128,146152,121131,123129,244244,282288,235235,148150
"127","2",127131,179179,176178,126126,140152,131131,123123,242242,282282,235235,148148
"128","2",127131,179179,172176,126126,134134,121131,123129,242242,282288,231231,148150
"129","2",127131,179181,172176,126130,140146,NA,123123,242242,282288,231235,148150
"130","3",127131,181181,176176,124130,134140,129131,123123,NA,282288,235235,148150
"131","2",127131,179179,176178,126126,134134,131131,123123,238242,282282,231235,148148
"132","2",127131,179179,178178,124126,146146,131131,123123,238242,282288,231235,148150
"133","2",127131,179179,178178,124126,146146,NA,123123,242242,282288,235235,148148
"134","2",127131,179179,176184,126138,134150,121131,123123,240242,282288,231235,148150
"135","2",127131,179181,172188,124126,144146,121131,123123,240242,282282,231235,148148
"136","2",127131,179179,176178,126126,140152,131131,123131,242242,282282,231231,148150
"137","2",127131,179181,176176,124138,134146,121131,123123,NA,286288,231235,150150
"138","2",131131,179179,176178,126126,NA,121121,123131,242242,282288,NA,148148
"139","3",127131,179179,176176,124128,140150,121131,129131,242242,282288,231235,148150
"140","2",127131,179181,176178,124126,144146,123131,123131,244244,282282,231235,150150
"141","2",131131,179181,172176,124126,NA,131131,123123,242242,282288,235235,148148
"142","2",127131,179181,176178,124126,140146,129131,123129,242242,282288,231235,148150
"143","2",127131,179179,172176,126128,134152,121131,123129,242244,282288,235235,148150
"144","2",131131,179181,176188,126126,134144,121121,123123,242244,282288,235235,148148
"145","2",127131,179181,176176,126126,134144,121121,123123,238242,288288,235235,148150
"146","2",131131,179179,176176,124126,134144,121121,123123,242244,282288,231235,148148
"147","2",127127,179181,172176,126130,140146,121129,123131,240242,282288,231231,148150
"148","3",127127,179179,176176,126126,140144,131131,123131,238242,282282,235235,148148
"149","2",127127,179179,178178,124126,134146,121129,123123,242242,282288,235235,148148
"150","2",131131,179179,176178,126132,144146,131131,NA,NA,282282,NA,148148
"151","3",127131,179181,176176,126138,150154,131131,123131,242244,282288,235235,148150
"152","2",131131,179181,176176,126138,134150,121131,123129,242242,282288,235235,148150
"153","2",127127,179179,176176,126126,134146,121131,123129,240242,288288,231235,148150
"154","2",127131,179181,176188,126132,146150,121131,123129,242244,282288,NA,148150
"155","2",127127,179181,176176,126126,136154,121131,123123,242242,282288,231235,148148
"156","2",127131,179179,176184,124126,140150,121131,123123,238242,282282,235235,148148
"157","2",131131,179181,176176,126138,134134,121131,123131,240242,282288,231235,150150
"158","2",127131,179179,176176,124126,140152,121131,123123,242244,282282,235235,148148
"159","2",127127,179179,176184,126126,150150,121131,123123,242242,282288,231235,148148
"160","2",131131,181181,176178,124126,140146,121131,123123,240242,282282,231235,148148
"161","2",131131,179179,172176,126126,144146,121131,123131,238242,NA,235237,148148
"162","2",131131,179181,176176,124124,134146,121121,123123,242242,282288,231235,148150
"163","2",131131,179181,176184,124124,140146,131133,123123,242242,282282,235235,148148
"164","2",131131,179179,176176,124126,144146,121129,123129,242244,282282,231235,148148
"165","2",127131,179179,178188,126126,132134,129131,123123,242242,282288,235235,148148
"166","2",127131,179181,188188,124126,144150,121131,123123,242242,282282,235235,148148
"167","2",127131,179179,176176,126130,140152,131131,129129,244244,282288,235235,148148
"168","2",127127,179181,184188,126126,150150,121131,123129,242242,282282,231235,148148
"169","2",127131,179179,176184,126126,134150,121131,123129,242242,282288,235235,148148
"170","2",127127,179179,172176,126128,134136,131131,123129,242244,282288,235235,148148
"171","3",NA,179181,176176,124126,134140,121131,123123,NA,282282,NA,148148
"172","2",127131,179179,176188,126126,134144,121131,123123,242244,282288,235235,148148
"173","2",127131,179181,184188,126126,144150,121131,123123,242242,282288,231235,148148
"174","2",127131,179179,176176,130138,146152,131131,123129,242242,288288,235235,148150
"175","2",131131,179179,176178,126126,140146,121129,123123,238242,282282,231235,148148
"176","2",131131,179179,176176,126126,134150,131131,123123,238242,282288,235235,148148
"177","2",131131,179181,172178,126126,144146,121131,123131,NA,NA,NA,NA
"178","2",131131,179181,176178,124124,NA,131131,123123,238242,282282,235235,148148
"179","2",131131,179179,176176,126126,134150,121131,123123,NA,282288,231235,148150
"180","2",NA,179179,176178,124126,148154,121131,123131,NA,282288,NA,148148
"181","3",131131,179181,176176,124126,144144,131131,123131,242244,282282,231235,148150
"182","2",127131,179181,176176,126130,140146,129133,123129,242242,282288,231235,148148
"183","2",131131,179179,176178,124126,148154,121131,123129,242242,282288,231231,148148
"184","2",127131,179179,176176,124126,134146,131131,123129,NA,288288,231231,148148
"185","2",127131,179179,176184,126128,136144,121129,123131,242244,282282,231235,148148
"186","3",127127,179179,176176,126130,134140,121131,129129,240240,282288,NA,148148
"187","2",131131,179179,176178,124126,136144,131131,123129,238242,282288,231235,148148
"188","2",NA,179181,176176,126130,146154,121131,123123,242244,282282,NA,148148
"189","2",127131,179179,176178,126126,134146,121131,123129,242242,282288,231231,148148
"190","2",127131,179179,176176,126126,146150,121121,123123,244244,282288,231231,150150
"191","2",127131,179179,176178,126126,134150,131131,123123,242242,282288,235235,148148
"192","2",127131,179181,176188,124138,140144,121131,123123,238242,282282,235235,148150
"193","3",127131,179181,176178,124128,140150,121131,129131,242242,282288,235235,148150
"194","2",131131,179181,172178,124126,136146,121133,123131,242242,282288,231235,148148
"195","2",131131,179181,176176,124126,140152,129129,123131,238242,282288,231235,148148
"196","2",127127,179181,172176,126126,144152,121131,123129,242242,282288,231235,150150
"197","2",127131,179181,172176,126126,136136,121131,123129,242242,282282,235235,150150
"198","2",127131,179181,176176,126126,140140,121131,123123,238242,282282,231235,148150
"199","2",127131,179181,172176,124130,140144,131133,123123,242242,282288,231231,148150
"200","2",131131,179181,176178,126126,136140,121133,123123,238242,282282,235235,148148
"201","2",127127,179179,176176,124130,134146,121129,123123,242244,288288,231235,148150
"202","2",127131,179181,176176,126126,134150,131131,123123,242242,NA,235237,148150
"203","2",131131,179181,172176,124126,136140,121131,123131,242242,282282,231235,148148
"204","2",131131,179181,176178,126130,146154,121131,123123,242244,282282,235235,148148
"205","2",131131,179179,176176,126126,140150,131131,123123,240242,288288,235235,148148
"206","2",127131,179179,176176,126136,140150,NA,129129,242242,282288,235235,148148
"207","2",NA,179181,176176,126138,146146,121131,123131,NA,282288,231235,148150
"208","2",131131,179181,176176,126130,146146,121131,123123,282288,NA,231235,148148
"209","3",127127,181181,176176,128136,146150,121131,123129,242242,288288,235235,148148
"210","2",131131,179179,176178,126132,134146,131131,123129,242244,288288,235235,148150
"211","2",127127,179181,176178,126138,134146,121121,123123,242242,282288,235235,148150
"212","2",127131,179179,176178,126130,146154,121129,123123,242244,282288,231235,148148
"213","2",127131,179181,172176,126130,134134,129131,123129,242244,282288,231235,148150
"214","3",127127,179181,176176,126126,140146,NA,NA,238242,NA,235235,148148
"215","2",127131,179181,176178,126138,134134,131131,123129,240242,282288,231235,148148
"216","2",127131,179181,176188,124126,140150,121121,123123,238242,282282,231235,148150
"217","2",127131,179179,176178,124126,134152,121131,123129,242244,282282,235235,148148
"218","2",127131,179181,176178,126130,144146,121129,123123,238244,282288,235235,148148
"219","2",127131,179181,176176,126126,144150,131131,123123,242242,282288,231231,148150
"220","2",131131,179179,176176,124126,150150,121131,123123,242244,282282,231235,148148
"221","2",131131,179181,176178,124126,140146,121123,123123,242242,282282,235235,148148
"222","2",127127,179181,176178,126126,146152,129131,123123,242242,282282,235235,148148
"223","2",131131,181181,176176,124128,134146,129131,123123,240242,288288,235235,148148
"224","2",127131,179181,176178,124126,140146,121131,123129,242244,282288,231235,148150
"225","2",127131,179181,176178,126126,146152,121129,123131,242244,282288,235235,148150
"226","2",NA,179179,176176,132132,150154,133133,123129,NA,282288,235235,150150
"227","2",131131,179179,176176,126128,134136,121131,123131,242244,282288,231231,148150
"228","2",131131,179181,176176,126126,134134,121131,123131,242242,282288,235235,148150
"229","2",131131,179179,176176,126126,134146,131133,123129,242244,282282,231235,148150
"230","2",131131,179179,172178,126126,144146,121129,123123,242244,282282,235235,150150
"231","2",131131,179181,176188,126130,134154,NA,123123,242244,282282,235237,148148
"232","2",131131,179179,172178,126128,146154,121131,123131,242244,282282,NA,148148
"233","2",127131,179179,176176,126126,134136,121129,123129,242244,282288,235235,148150
"234","2",131131,179181,176188,126126,134136,121121,123123,242242,288288,235235,150150
"235","2",131131,179179,176176,124126,134144,129131,129131,242242,282288,235235,148150
"236","2",127131,179181,176178,126126,134136,121131,129131,242242,282282,235235,148150
"237","2",131131,179179,178178,126126,134134,129131,123123,242244,282288,235237,148148
"238","2",131131,179181,176178,126132,134154,121131,123129,244244,288288,235235,150150
"239","2",NA,179181,178178,NA,134146,131131,123123,242244,282288,231235,148148
"240","2",127127,179179,176176,126126,134150,121131,129129,242244,282288,235235,148148
"241","2",131131,179179,176176,126126,134134,121131,123129,242244,282288,NA,148148
"242","2",127131,179179,176178,126126,134134,121131,129129,NA,282282,NA,148148
"243","2",131131,179179,176178,124126,134146,121129,123129,242242,282282,231235,148150
"244","2",131131,179181,176176,126126,134134,119121,123129,242242,282288,235235,148150
"245","2",131131,179179,176178,126126,144146,129131,123123,242242,282288,235235,148148
"246","2",131131,179181,176176,126126,134150,121131,123129,238242,282282,231235,148150
"247","2",127131,179181,176178,126126,146152,121121,123131,242244,282288,235235,148150
"248","2",131131,179179,176176,126126,134144,121131,123123,242244,282282,231235,148148
"249","2",127131,179179,176178,124126,144144,121131,123123,242242,282288,235235,148150
"250","2",131131,179179,176176,126126,134144,121131,123123,NA,282288,231235,148148
"251","2",127131,179181,176176,126132,140146,NA,123129,242244,282288,231235,150150
"252","2",127131,179181,176176,126126,144150,131131,123129,242244,282288,235235,150150
"253","2",127131,179179,176178,126130,134152,129131,123123,242244,282288,235235,148148
"254","2",127131,179181,178178,126132,134146,121131,123123,240242,282288,231237,148148
"255","2",131131,179181,178188,132132,134146,131131,123123,NA,NA,235237,148150
"256","2",127131,181181,176178,124126,144146,131131,123123,NA,282288,231235,150150
"257","2",127131,179181,176176,126126,144144,121131,123123,242242,282282,231235,148150
"258","2",131131,179181,176176,126126,144146,131131,123123,242244,282288,235237,148150
"259","2",127131,179181,176176,126126,144144,121133,123129,242242,282288,231235,148150
"260","2",NA,179179,178178,126126,134146,NA,123129,242244,282288,231235,148150
"261","2",131131,179179,176178,126126,136136,121121,129129,244244,282282,235235,148150
"262","2",131131,179179,176176,124126,140150,131133,123129,242242,NA,NA,NA
"263","2",131131,179179,176176,126138,134150,131131,123123,238242,282282,231235,148148
"264","2",127131,179181,176176,126126,134144,121129,NA,242244,282288,225235,148150
"265","2",NA,181181,184184,126126,132134,119121,123129,244244,282282,225235,148148
"266","2",131131,179179,176178,126132,134134,131133,123129,242242,282282,235237,148148
"267","2",131131,179181,178178,126132,144146,129131,123123,242242,NA,231237,150150
"268","2",127131,179179,176178,126130,144152,131131,123129,242244,282288,235235,148150
"269","2",127131,179179,176176,126126,134136,131133,129129,242242,288288,235235,150150
"270","2",131131,179179,176176,126132,134146,121129,123129,242242,288288,235235,150150
"271","2",127131,179181,176176,126126,134146,131131,123129,242244,282282,231235,148150
"272","2",127131,179181,176176,126128,150150,131131,123129,242242,288288,235235,148148
"273","2",127131,179179,176176,126132,144146,131131,123129,242242,282282,235235,150150
"274","2",131131,179179,176176,126128,144144,121131,123129,242242,288288,235235,148150
"275","2",127131,179179,176176,126126,146146,121131,123129,NA,282282,235235,150150
"276","2",131131,179179,176178,124126,136144,121131,129129,242244,282288,235235,148150
"277","2",131131,179181,176178,126126,134144,121121,123129,238242,282282,231235,148150
"278","2",NA,179181,176178,126126,144144,131133,123123,242244,282282,231235,150150
"279","2",127131,179179,176176,124126,134144,121129,123123,242244,NA,231235,150150
"280","2",131131,179181,176178,126132,144146,121129,123129,242244,282288,235235,150150
"281","2",131131,179179,176178,126132,146146,121131,123129,242242,282282,235235,150150
"282","2",131131,179181,176176,126132,144146,121121,123129,242244,282288,235235,NA
"283","2",129131,179181,176178,126132,144146,121131,123129,242244,282288,235235,150150
"284","2",127131,179179,176176,126132,144146,121131,129129,242244,282288,NA,148150
"285","2",127131,179179,178178,126130,134134,131131,123123,242244,282288,231231,148148
"286","2",131131,179179,176178,126128,134136,121131,123123,242244,282288,231235,148148
"287","2",131131,179179,176176,126126,134144,129131,123123,242242,288288,235235,148148
"288","2",127131,181181,176184,126126,134136,121121,123123,238244,282288,235235,148150
"289","2",131131,179179,176176,126132,140150,131133,123129,240242,282288,235235,148150
"290","2",127131,179179,176178,126130,134152,131131,123123,242244,288288,235235,148148
"291","2",131131,179179,176178,126126,134144,121131,123123,242244,288288,231235,148150
"292","2",131131,179179,176176,126126,134144,NA,123129,242244,288288,235235,150150
"293","2",127131,179179,176176,126126,134136,121121,123129,NA,282282,235235,148148
"294","2",131131,179179,176188,126126,134136,131131,123129,242242,282288,231235,148148
"295","2",127131,179179,178184,126126,136144,121131,123129,242244,288288,235235,148150
"296","2",127131,179179,176176,126126,134134,131131,123129,242244,282288,231235,148148
"297","2",127131,179181,176184,126126,134136,121129,123123,238244,282288,235235,148150
"298","2",131131,179179,176176,124124,134136,131131,123129,238244,282288,231235,148148
"299","2",127131,179179,176178,126128,134144,121131,123123,238244,282288,235235,150150
"300","2",131131,179179,176178,126126,134146,129131,123123,242244,282288,235235,148150
"301","2",127131,181181,176176,126126,134146,NA,123123,242242,282288,231235,148150
"302","2",131131,179181,176176,126126,134146,121131,123123,242244,282288,231235,148148
"303","2",131131,179181,176178,124126,134144,121131,123123,242244,282288,231235,148150
"304","2",131131,179181,176176,126126,134144,131133,123123,238242,282282,231237,148148
"305","2",127131,179181,176176,126126,134144,121133,123123,242244,282288,235235,148150
"306","2",127131,179181,176178,124126,134134,121133,NA,240244,282282,231235,148148
"307","3",127131,179181,176176,124128,150150,NA,123129,242242,282282,235235,150150
"308","2",127131,179181,176176,124126,140144,121131,123129,NA,282288,235235,148150
"309","2",127131,179181,176176,124126,144146,121131,123129,242244,282288,235235,148150
"310","2",131131,179181,176176,124126,134134,121121,123123,242244,282282,231235,148148
"311","2",127131,179181,176176,124126,140144,131131,123123,242242,282288,235235,148150
"312","2",127131,179181,178178,126132,144146,129131,123123,242242,282288,231235,148148
"313","2",131131,179179,176188,126126,144146,131133,123123,242242,282282,231235,148150
"314","2",127131,179179,176178,126126,134144,129131,123131,242242,282288,231235,148150
"315","2",127131,179179,176176,126132,140154,131133,123129,244244,282288,235235,150150
"316","2",127131,179181,176176,124132,136140,121131,123123,242244,282288,235235,150150
"317","2",127131,179181,176188,124126,140150,121121,123123,238242,282282,231235,148150
"318","2",131131,179179,176178,126128,134134,121131,123123,242242,282288,231235,148150
"319","2",131131,179179,176176,126128,144146,129131,123123,242244,282288,235235,148148
"320","2",131131,179181,172176,126128,144154,121133,123131,238242,282282,235237,148150
"321","2",131131,179179,176178,126126,134136,NA,123131,242242,NA,235235,148150
"322","2",131131,179181,178178,126126,134144,129131,123123,242244,282282,235235,148148
"323","2",NA,179181,178178,126126,134146,NA,123123,NA,282288,233237,NA
"324","2",131131,179179,176178,126126,134146,129131,123123,242244,NA,235235,148150
"325","3",127131,179181,176178,124130,134136,131131,123129,242242,282282,231235,148148
"326","2",131131,179179,178188,126132,144146,131131,123123,242242,282282,235235,148150
"327","2",127131,179179,178178,126132,134144,121129,123123,242242,282288,231235,148148
"328","2",131131,181181,176176,128130,134134,121133,123123,NA,NA,NA,148150
"329","2",131131,179179,176178,126138,134150,131131,123123,242242,282282,231235,148148
"330","2",131131,179179,176178,NA,134144,NA,123123,242242,282288,235235,148148
"331","2",131131,179179,178178,124126,140152,121131,123131,242244,282282,231235,148150
"332","2",127131,179179,176178,126126,134144,121131,123123,240242,282282,231231,148148
"333","2",131131,179179,176178,124126,136144,121131,129129,242242,282288,235235,148150
"334","2",131131,179179,176176,124126,144146,129131,123123,242242,282288,235235,148150
"335","2",131131,179179,176178,126128,140146,121131,123131,242244,282288,231235,148148
"336","2",131131,179179,176176,126126,144146,121131,123123,242242,282288,235235,148148
"337","2",NA,NA,176176,124126,144150,131131,123129,NA,282288,NA,148150
"338","2",127131,179181,176184,126126,134136,121131,123129,242244,NA,235235,148148
"339","2",131131,179179,176178,132132,146146,121129,123129,238242,282282,235235,148150
"340","2",NA,NA,176178,126132,144146,121131,123123,NA,282282,233235,148150
"341","2",NA,179181,176176,NA,144150,121131,123129,238242,282288,NA,148150
"342","2",131131,179181,176176,126128,134154,121129,123123,238244,282282,231235,148150
"343","2",131131,179181,176176,132132,136154,121133,123129,242244,288288,235235,150150
"344","2",127131,179181,176176,126126,144146,121131,123129,242244,288288,235235,148150
"345","2",131131,179181,178178,126132,134146,121131,123123,242244,282288,231237,148150
"346","2",131131,179179,176188,126126,134134,121131,123129,242242,282282,235235,148150
"347","2",131131,179179,NA,128130,134134,117121,123133,242242,NA,NA,NA
"348","2",123129,179181,176176,126132,134146,119135,123133,242242,NA,NA,NA
"349","1",127127,179179,178178,128132,136144,121133,123133,242242,NA,NA,NA
"350","1",123123,179179,178180,NA,NA,125129,123131,242242,NA,NA,NA
"351","1",123123,179179,186188,122130,136136,119133,123131,242252,NA,NA,NA
"352","1",131131,179179,170172,124130,144146,119125,123131,242242,NA,NA,NA
"353","1",125125,179185,184186,138138,128142,125125,123139,NA,NA,NA,NA
"354","1",125129,173173,184186,130130,142144,125129,123131,238242,NA,NA,NA
"355","1",125133,179181,180184,130134,144144,125133,123131,238242,NA,NA,NA
"356","1",125129,179179,170172,118132,146146,123129,123139,NA,NA,NA,NA
"357","1",125131,179181,NA,124132,146148,123123,123131,NA,NA,NA,NA
"358","1",125125,179179,180182,132132,146146,123123,123131,NA,NA,NA,NA
"359","1",127127,179185,180184,132138,142146,129129,123131,238238,NA,NA,NA
"360","1",133133,173179,172172,126130,148148,125125,123129,NA,NA,NA,NA
"361","1",NA,179183,184184,124132,142146,123129,123131,NA,NA,NA,NA
"362","1",125129,173173,180184,128130,144144,125125,123131,NA,NA,NA,NA
"363","1",127131,179185,176184,122134,142142,127131,123131,238238,NA,NA,NA
"364","1",129129,179185,174180,126128,134136,119131,123131,238242,NA,NA,NA
"365","1",129129,179185,178180,128138,144146,127129,123131,242242,NA,NA,NA
"366","1",121133,179179,174186,128128,146146,125133,NA,NA,NA,NA,NA
